Store_ID,Month,Region,Product Mix,Inventory–Local Demand Match,Customer Loyalty & Engagement,Promotions & Pricing Effectiveness,Competitor New Stores,Competitor Ad Spend (₱),Sales Decline,Customer Basket Size,Customer Trip Frequency,Inventory Holding Costs (₱),Market Share in Region,Customer Preference Alignment
S0182,2024-07,Other,New Products,Medium,Weak,Ineffective,0,277.61,8.01,3.65,1.34,105375,13.5,High
S0138,2025-06,Southeast,Standard,Medium,Moderate,Ineffective,0,168.64,12.53,1.77,2.3,107738,10.15,Low
S0073,2024-09,Other,Standard,High,Strong,Effective,0,89.41,0.0,2.21,1.97,37528,15.57,Low
S0128,2024-03,Midwest,Specialty,Medium,Weak,Effective,0,187.93,10.27,3.03,1.83,106763,11.32,Low
S0138,2025-12,Southeast,Standard,Medium,Strong,Effective,0,101.4,5.33,3.13,0.68,84291,12.59,Low
S0169,2025-05,Midwest,New Products,Low,Moderate,Effective,0,158.14,22.69,2.19,1.52,150354,7.88,High
S0011,2024-01,Southeast,Standard,Medium,Moderate,Effective,1,67.46,14.79,3.19,1.87,130705,10.42,Low
S0154,2025-09,Southeast,New Products,Medium,Strong,Ineffective,0,292.09,11.29,2.59,1.32,104939,14.15,High
S0197,2024-08,Southeast,New Products,Medium,Strong,Ineffective,1,198.6,9.02,2.31,0.99,108520,12.22,High
S0010,2025-12,Southeast,Standard,Medium,Moderate,Effective,2,406.14,14.23,2.77,1.87,102103,8.58,Low
S0171,2024-12,Midwest,New Products,Low,Weak,Effective,1,79.86,14.51,2.89,1.5,132689,9.57,High
S0003,2025-06,Other,Standard,Medium,Weak,Ineffective,0,970.38,20.17,2.14,1.08,156575,8.56,Low
S0014,2025-10,Other,Specialty,High,Moderate,Effective,1,482.58,12.8,1.85,2.05,88575,9.21,Low
S0189,2024-06,Other,New Products,Medium,Moderate,Effective,0,1248.5,14.36,3.33,1.51,105111,10.38,High
S0130,2025-12,Southeast,Specialty,Medium,Strong,Ineffective,0,184.27,8.74,3.93,2.06,114991,12.61,Low
S0002,2024-10,Southeast,Standard,Medium,Moderate,Ineffective,1,476.09,16.52,2.29,1.98,101648,7.08,Low
S0172,2024-10,Southeast,New Products,High,Moderate,Ineffective,0,479.25,18.76,2.45,1.36,93841,10.59,High
S0145,2024-09,Southeast,Standard,Low,Strong,Effective,2,246.61,10.67,3.32,1.75,114453,11.03,Low
S0130,2024-02,Southeast,Specialty,Low,Weak,Ineffective,0,117.39,16.24,2.08,2.32,132458,12.53,Low
S0150,2024-01,Midwest,Standard,High,Strong,Effective,2,223.5,6.94,3.36,1.53,56847,12.13,Low
S0036,2024-03,Midwest,Specialty,Low,Strong,Effective,1,259.75,11.86,2.99,1.66,126301,10.95,Low
S0151,2025-01,Other,New Products,High,Moderate,Ineffective,1,149.7,8.94,2.07,1.81,73464,11.35,High
S0070,2024-11,Southeast,Specialty,Low,Weak,Ineffective,1,441.18,18.94,2.71,2.25,161026,8.08,Low
S0079,2025-05,Southeast,Standard,Medium,Moderate,Effective,0,162.06,8.01,2.11,1.69,70182,13.85,Low
S0159,2025-02,Other,New Products,High,Moderate,Effective,0,147.33,4.12,3.44,1.62,53960,13.96,High
S0172,2024-05,Southeast,New Products,Low,Weak,Effective,1,397.14,18.64,2.09,1.24,129135,8.39,High
S0039,2024-04,Midwest,Standard,High,Strong,Effective,0,203.13,2.18,4.17,1.14,30173,14.63,Low
S0206,2025-02,Midwest,New Products,Medium,Strong,Effective,0,484.52,6.18,3.87,1.57,80841,14.25,High
S0132,2025-12,Other,Specialty,High,Strong,Ineffective,1,173.19,11.84,3.69,1.34,76258,9.86,Low
S0035,2025-04,Southeast,Standard,Medium,Moderate,Effective,1,223.57,11.62,3.01,0.85,94392,10.31,Low
S0044,2025-01,Midwest,Standard,High,Strong,Effective,1,335.6,7.09,2.89,1.54,66451,11.76,Low
S0078,2025-12,Other,Standard,Medium,Weak,Effective,0,386.33,14.01,3.14,1.76,114393,10.58,Low
S0201,2024-09,Other,New Products,High,Strong,Effective,0,309.48,8.98,3.29,1.56,80156,12.78,High
S0207,2025-10,Midwest,New Products,High,Strong,Ineffective,1,386.56,15.45,2.81,1.99,94045,10.68,High
S0135,2025-08,Southeast,Specialty,Low,Moderate,Ineffective,1,303.89,24.41,3.48,1.39,169553,6.31,Low
S0065,2025-03,Southeast,Standard,High,Moderate,Ineffective,2,120.61,16.31,2.72,1.17,94178,9.84,Low
S0009,2024-08,Midwest,Specialty,Medium,Moderate,Effective,1,98.67,13.69,3.53,1.8,114246,9.83,Low
S0161,2025-08,Midwest,New Products,Medium,Moderate,Ineffective,0,220.83,13.89,1.84,2.01,148322,12.1,High
S0018,2025-07,Midwest,Standard,Low,Weak,Effective,0,485.45,19.65,2.58,1.51,153111,11.11,Low
S0094,2024-09,Southeast,Standard,Medium,Strong,Ineffective,1,399.95,10.89,2.96,1.24,105891,11.29,Low
S0205,2024-05,Midwest,New Products,Medium,Strong,Effective,3,353.01,11.13,3.77,1.62,103789,7.98,High
S0083,2025-04,Other,Specialty,High,Strong,Effective,0,407.83,1.9,4.26,1.23,62277,14.32,Low
S0031,2024-05,Other,Specialty,Low,Strong,Ineffective,1,338.96,16.12,2.51,1.73,105235,8.87,Low
S0119,2024-02,Southeast,Standard,Medium,Moderate,Effective,1,964.14,15.58,2.29,1.41,91674,11.73,Low
S0202,2025-05,Other,New Products,High,Strong,Ineffective,0,524.82,9.25,2.55,1.74,74274,12.48,High
S0145,2025-02,Southeast,Standard,Medium,Moderate,Effective,0,721.51,16.05,2.84,1.31,136254,9.11,Low
S0108,2025-05,Midwest,Standard,High,Moderate,Effective,1,81.36,10.99,2.04,1.71,104658,11.07,Low
S0161,2024-03,Midwest,New Products,High,Strong,Ineffective,0,624.0,13.36,3.78,1.57,96639,12.21,High
S0131,2025-04,Midwest,Standard,Low,Moderate,Ineffective,1,550.55,21.9,3.11,0.97,145844,7.75,Low
S0056,2025-04,Other,Standard,High,Weak,Effective,0,273.69,8.02,2.42,1.27,101819,13.04,Low
S0060,2025-09,Midwest,Standard,Medium,Strong,Ineffective,1,332.19,20.42,4.27,2.01,127567,7.84,Low
S0034,2024-09,Southeast,Standard,High,Strong,Ineffective,2,398.02,16.17,2.94,1.68,87083,8.15,Low
S0013,2024-09,Southeast,Standard,Low,Strong,Effective,0,304.15,13.64,3.32,1.7,130288,10.8,Low
S0120,2025-10,Southeast,Standard,High,Moderate,Effective,1,103.66,6.9,2.48,1.83,53247,12.85,Low
S0021,2024-06,Other,Standard,Medium,Strong,Effective,1,155.89,7.4,4.14,1.62,88850,13.23,Low
S0012,2025-04,Other,Standard,Medium,Moderate,Effective,2,246.53,8.49,2.67,1.06,94531,9.57,Low
S0070,2025-02,Southeast,Specialty,Medium,Moderate,Effective,2,484.69,17.16,2.27,1.62,120474,8.35,Low
S0152,2024-08,Other,New Products,High,Weak,Effective,1,287.81,9.87,2.71,1.23,79467,9.7,High
